Index,Formula,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
812,MAPb0.4Sn0.6I2.6Br0.4,1000,1.34,0.12,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0.13,0.87,0.01,0.26,0.73,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.17,440.75,370.6,4.69,120.64,299.21,1025.93,7.43,20.08,2.7,50.6,4.87
813,FAPb0.7Sn0.3I3,1000,1.35,0.16,0,0,0,0,1,0,0,0,0,0.3,0.7,0,0,1,0.21,0.04,0,0.75,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
814,FA0.3MA0.7Pb0.7Sn0.3I3,1000,1.37,0.15,0,0,0,0.7,0.3,0,0,0,0,0.3,0.7,0,0,1,0.28,0.33,0.39,0,2.28,282.6,232.66,0.82,35.96,8.66,903.14,6.24,25.4,2.56,78.4,7.3,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
815,FAPb0.75Sn0.25I3,1000,1.38,0.17,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,0.19,0.04,0,0.77,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
816,MAPb0.75Sn0.25I3,1000,1.4,0.15,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0.14,0.08,0.78,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
817,FA0.7MA0.3Pb0.7Sn0.3I3,1000,1.39,0.21,0,0,0,0.3,0.7,0,0,0,0,0.3,0.7,0,0,1,0.17,0.04,0,0.79,2.42,303.4,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.6,7.7,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
818,MAPb0.6Sn0.4I3,1000,1.4,0.08,0,0,0,1,0,0,0,0,0,0.4,0.6,0,0,1,0.03,0.21,0.75,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2364.2,562.44,9.73,171.8,114.4,712.74,5.74,222.89,2.18,69.2,5.6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
819,MAPb0.7Sn0.3I3,1000,1.43,0.1,0,0,0,1,0,0,0,0,0,0.3,0.7,0,0,1,0.12,0.1,0.78,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
820,FASnI3,1000,1.44,0.1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.57,0.01,0,0.41,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
821,FA0.6MA0.4PbI3,1000,1.51,0.19,0,0,0,0.4,0.6,0,0,0,0,0,1,0,0,1,0,0.05,0,0.95,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
822,FA0.85MA0.15PbI3,1000,1.52,0.22,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0,1,0,0.06,0,0.94,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
823,FAPbI3,1000,1.54,0.22,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.06,0,0.93,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
824,FA0.95Cs0.05PbI3,1000,1.54,0.2,0,0,0.05,0,0.95,0,0,0,0,0,1,0,0,1,0,0.06,0,0.94,2.49,350.25,351.38,1.14,49.45,10.44,825.43,6.28,30.94,2.48,89.2,7.9,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
825,(FAPbI3)0.9(MAPbBr3)0.1,1000,1.54,0.22,0,0,0,0.1,0.9,0,0,0,0,0,1,0,0.1,0.9,0,0.06,0,0.93,2.49,313.8,336.66,1.06,43.76,8.61,856.82,6.46,28.48,2.57,89.2,7.9,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
826,Cs0.05FA0.70MA0.25PbI3,1000,1.55,0.22,0,0,0.05,0.25,0.7,0,0,0,0,0,1,0,0,1,0,0.06,0,0.94,2.4,337.25,308.04,1.04,46.2,10.47,844.73,6.19,29.65,2.48,84.7,7.65,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
827,(FAPbI3)0.95(MAPbBr3)0.05,1000,1.56,0.23,0,0,0,0.05,0.95,0,0,0,0,0,1,0,0.05,0.95,0,0.06,0,0.93,2.51,316.4,345.33,1.08,44.41,8.6,852.96,6.48,28.74,2.57,90.1,7.95,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.19,451.22,380.66,4.84,124.55,296.76,1014.97,7.64,20.59,2.67,52.1,4.95
828,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,1000,1.57,0.15,0,0,0.05,0.08,0.87,0,0,0,0,0,1,0,0.08,0.92,0,0.06,0,0.94,2.46,346.3,338.2,1.11,48.46,10.45,831.3,6.25,30.55,2.48,87.83,7.82,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
829,(FAPbI3)0.92(MAPbBr3)0.08,1000,1.58,0.23,0,0,0,0.08,0.92,0,0,0,0,0,1,0,0.08,0.92,0,0.06,0,0.93,2.5,314.84,340.13,1.07,44.02,8.61,855.28,6.47,28.59,2.57,89.56,7.92,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
830,(FAPbI3)0.85(MAPbBr3)0.15,1000,1.58,0.2,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
831,FA0.15MA0.85PbI3,1000,1.58,0.22,0,0,0,0.85,0.15,0,0,0,0,0,1,0,0,1,0.13,0.48,0.39,0,2.22,274.8,206.65,0.76,34.01,8.67,914.72,6.19,24.62,2.55,75.7,7.15,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
832,FA0.85MA0.15Pb(I0.85Br0.15)3,1000,1.59,0.21,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
833,MAPbI3,1000,1.6,0.12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.14,0.1,0.77,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
834,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,1000,1.63,0.21,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.17,0.83,0,0.06,0,0.94,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
835,Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,1000,1.61,0.23,0,0.03,0.07,0.14,0.76,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.4,374.99,325.68,1.11,50.66,12.34,813,6.02,32.22,2.39,84.43,7.63,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
836,Cs0.05FA0.76MA0.19PbBr0.6I2.4,1000,1.63,0.2,0,0,0.05,0.19,0.76,0,0,0,0,0,1,0,0.2,0.8,0,0.06,0,0.94,2.42,340.37,318.44,1.06,46.98,10.46,840.1,6.21,29.96,2.48,85.78,7.71,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.15,432.37,362.55,4.57,117.5,301.16,1034.7,7.27,19.67,2.72,49.4,4.8
837,MAPb(I0.87Br0.13)3,1000,1.66,0.1,0,0,0,1,0,0,0,0,0,0,1,0,0.13,0.87,0.04,0.21,0.75,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,441.17,371,4.69,120.79,299.11,1025.49,7.44,20.1,2.7,50.66,4.87
838,MAPb(I0.88Br0.12)3,1000,1.67,0.08,0,0,0,1,0,0,0,0,0,0,1,0,0.12,0.88,0.06,0.19,0.75,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,442.42,372.21,4.71,121.26,298.82,1024.18,7.46,20.16,2.7,50.84,4.88
839,Cs0.05MA0.15FA0.8Pb(I0.75Br0.25)3,1000,1.68,0.21,0,0,0.05,0.15,0.8,0,0,0,0,0,1,0,0.25,0.75,0,0.06,0,0.94,2.44,342.45,325.37,1.08,47.5,10.46,837.01,6.22,30.16,2.48,86.5,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.5,4.75
840,MAPb(I0.74Br0.26)3,1000,1.69,0.07,0,0,0,1,0,0,0,0,0,0,1,0,0.26,0.74,0.02,0.27,0.71,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,424.83,355.31,4.46,114.68,302.92,1042.59,7.12,19.29,2.74,48.32,4.74
841,Cs0.2FA0.8Pb(I0.75Br0.25)3,1000,1.7,0.17,0,0,0.2,0,0.8,0,0,0,0,0,1,0,0.25,0.75,0,0.06,0,0.94,2.37,444,343.51,1.25,62.63,15.98,754.42,5.62,36.75,2.21,83.8,7.6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.5,4.75
842,MA0.85Cs0.15Pb(I0.85Br0.15)3,1000,1.71,0.13,0,0,0.15,0.85,0,0,0,0,0,0,1,0,0.15,0.85,0.02,0.21,0.76,0,2.11,368.55,198.78,0.88,47.19,14.2,843.71,5.52,30.43,2.29,70.3,6.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
843,FA0.17Cs0.83PbI2.2Br0.8,1000,1.72,0.19,0,0,0.83,0,0.17,0,0,0,0,0,1,0,0.27,0.73,0,0.04,0.96,0,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,423.99,354.5,4.45,114.37,303.11,1043.47,7.1,19.25,2.74,48.2,4.73
844,FA0.83Cs0.17Pb(I0.6Br0.4)3,1000,1.73,0.18,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.4,0.6,0,0.06,0,0.94,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
845,Rb0.05Cs0.095MA0.1425FA0.7125PbI2Br,1000,1.74,0.18,0,0.05,0.09,0.14,0.71,0,0,0,0,0,1,0,0.33,0.67,0,0.06,0,0.94,2.36,403.36,322.51,1.14,53.61,14.04,793.71,5.83,33.98,2.31,82.4,7.53,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47,4.67
846,(FA0.83MA0.17)0.95Cs0.05Pb(I0.6Br0.4)3,1000,1.76,0.19,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.4,0.6,0,0.06,0,0.94,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
847,Cs0.17FA0.83Pb(I0.6Br0.4)3,1000,1.78,0.16,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.4,0.6,0,0.06,0,0.94,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
848,Cs0.12MA0.05FA0.83Pb(I0.6Br0.4)3,1000,1.79,0.19,0,0,0.12,0.05,0.83,0,0,0,0,0,1,0,0.4,0.6,0,0.06,0,0.94,2.42,391.4,339.04,1.17,54.95,13.03,796.15,5.95,33.39,2.36,85.78,7.71,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
849,FA0.17Cs0.83PbI1.8Br1.2,1000,1.79,0.17,0,0,0.83,0,0.17,0,0,0,0,0,1,0,0.4,0.6,0,0.02,0.98,0,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.1,407.24,338.4,4.21,108.1,307.02,1061,6.77,18.43,2.78,45.8,4.6
850,MAPbBrI2,1000,1.8,0.14,0,0,0,1,0,0,0,0,0,0,1,0,0.33,0.67,0.03,0.48,0.49,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47,4.67
851,FA0.6Cs0.4Pb(I0.65Br0.35)3,1000,1.81,0.16,0,0,0.4,0,0.6,0,0,0,0,0,1,0,0.35,0.65,0,0.06,0.07,0.87,2.21,569,333.02,1.41,80.2,23.36,659.74,4.74,44.5,1.86,76.6,7.2,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.12,413.52,344.44,4.3,110.45,305.55,1054.42,6.89,18.74,2.76,46.7,4.65
