Index,Formula,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
865,CsPbBr3,1000,2.34,0.09,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.1,0.03,0.87,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
866,MAPbBr3,1000,2.32,0.1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.04,0.02,0.94,0,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
867,CsSnBr3,1000,1.85,0.11,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.11,0.89,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
868,CsPbBr2.9I0.1,1000,2.36,0.04,0,0,1,0,0,0,0,0,0,0,1,0,0.97,0.03,0.07,0.02,0.92,0,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.97,336.04,269.98,3.18,81.47,323.62,1135.52,5.37,14.93,2.95,35.6,4.03
869,Cs0.91Rb0.09PbBr3,1000,2.39,0.1,0,0.09,0.91,0,0,0,0,0,0,0,1,0,1,0,0.1,0.03,0.87,0,1.73,945.53,302.54,1.84,128.64,45.62,378.16,2.11,67.87,0.79,53.38,5.91,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
870,FAPbBr2.1Cl0.9,1000,2.44,0.02,0,0,0,0,1,0,0,0,0,0,1,0.3,0.7,0,0.01,0.01,0,0.98,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.91,304.05,237.82,3.15,66.57,331.86,1173.26,4.66,13.37,3.02,29.6,3.7
871,FAPbBr2Cl,1000,2.48,0.01,0,0,0,0,1,0,0,0,0,0,1,0.33,0.67,0,0.01,0.01,0,0.98,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.91,300.96,234.69,3.15,65.09,332.67,1176.97,4.59,13.22,3.03,29,3.67
872,MA0.7FA0.3PbI3,1000,1.56,0.17,0,0,0,0.7,0.3,0,0,0,0,0,1,0,0,1,0.09,0.74,0.17,0,2.28,282.6,232.66,0.82,35.96,8.66,903.14,6.24,25.4,2.56,78.4,7.3,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
873,FA0.945MA0.025Cs0.03Pb(I0.975Br0.025)3,1000,1.57,0.2,0,0,0.03,0.03,0.94,0,0,0,0,0,1,0,0.03,0.97,0,0.06,0,0.94,2.5,336.45,348.09,1.11,47.37,9.71,836.83,6.36,30.03,2.52,89.47,7.91,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.19,454.36,383.68,4.88,125.73,296.03,1011.69,7.7,20.75,2.67,52.55,4.97
874,Cs0.05FA0.81MA0.14PbI2.55Br0.45,1000,1.6,0.09,0,0,0.05,0.14,0.81,0,0,0,0,0,1,0,0.15,0.85,0,0.06,0,0.94,2.44,342.97,327.11,1.08,47.63,10.46,836.24,6.23,30.22,2.48,86.68,7.76,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
